20260608 1324;1.33437;1.33441;1.33417;1.33427;586
20260608 1327;1.33427;1.33464;1.33427;1.33453;628
20260608 1330;1.33453;1.33455;1.33413;1.33428;728
20260608 1333;1.33428;1.33435;1.33405;1.33408;926
20260608 1336;1.33408;1.33444;1.334;1.33444;665
20260608 1339;1.33444;1.33454;1.33435;1.33447;422
20260608 1342;1.33447;1.33458;1.33445;1.33447;447
20260608 1345;1.33447;1.33468;1.33446;1.33446;536
20260608 1348;1.33446;1.33463;1.33438;1.3346;449
20260608 1351;1.3346;1.33466;1.33453;1.33458;527
20260608 1354;1.33458;1.33468;1.33453;1.33457;452
20260608 1357;1.33457;1.33458;1.3344;1.3345;474
20260608 1400;1.3345;1.33492;1.3345;1.33489;589
20260608 1403;1.33489;1.33498;1.33484;1.33494;543
20260608 1406;1.33494;1.33504;1.33484;1.33489;564
20260608 1409;1.33489;1.33504;1.33475;1.33477;481
20260608 1412;1.33477;1.33488;1.33463;1.33476;649
20260608 1415;1.33476;1.33496;1.33474;1.33494;486
20260608 1418;1.33494;1.33497;1.33481;1.33485;542
20260608 1421;1.33485;1.33501;1.33478;1.33495;537
20260608 1424;1.33495;1.33506;1.33485;1.3349;576
20260608 1427;1.3349;1.3351;1.33487;1.33509;510
20260608 1430;1.33509;1.3352;1.33497;1.33504;495
20260608 1433;1.33504;1.33525;1.33504;1.33519;505
20260608 1436;1.33519;1.33521;1.33478;1.33483;657
20260608 1439;1.33483;1.335;1.33476;1.33483;473
20260608 1442;1.33483;1.3349;1.33469;1.33474;392
20260608 1445;1.33474;1.33476;1.33459;1.3346;522
20260608 1448;1.3346;1.33468;1.3344;1.33443;510
20260608 1451;1.33443;1.33455;1.33438;1.33444;448
20260608 1454;1.33444;1.33447;1.33413;1.33413;727
20260608 1457;1.33413;1.33417;1.33378;1.3339;979
20260608 1500;1.3339;1.33429;1.33386;1.33428;686
20260608 1503;1.33428;1.33437;1.33422;1.33424;381
20260608 1506;1.33424;1.33429;1.33417;1.33417;317
20260608 1509;1.33417;1.33417;1.33393;1.33408;661
20260608 1512;1.33408;1.33426;1.33399;1.33402;560
20260608 1515;1.33402;1.33418;1.33398;1.33415;492
20260608 1518;1.33415;1.33419;1.33406;1.33416;433
20260608 1521;1.33416;1.33425;1.33397;1.33402;450
20260608 1524;1.33402;1.33404;1.33388;1.33397;516
20260608 1527;1.33397;1.33412;1.33395;1.33411;372
20260608 1530;1.33411;1.3343;1.33409;1.33426;690
20260608 1533;1.33426;1.33427;1.33413;1.33422;573
20260608 1536;1.33422;1.33438;1.33418;1.33436;420
20260608 1539;1.33436;1.33438;1.33413;1.33426;686
20260608 1542;1.33426;1.33432;1.33399;1.33405;631
20260608 1545;1.33405;1.33415;1.33398;1.33414;594
20260608 1548;1.33414;1.33427;1.33405;1.33416;558
20260608 1551;1.33416;1.33417;1.33396;1.33401;637
20260608 1554;1.33401;1.33405;1.33388;1.33396;629
20260608 1557;1.33396;1.33417;1.33386;1.3341;814
20260608 1600;1.3341;1.33423;1.33408;1.33416;403
20260608 1603;1.33416;1.33429;1.33416;1.33427;189
20260608 1606;1.33427;1.33429;1.33424;1.33424;130
20260608 1609;1.33424;1.33428;1.33406;1.33417;187
20260608 1612;1.33417;1.33424;1.33416;1.3342;257
20260608 1615;1.3342;1.3342;1.33393;1.33394;166
20260608 1618;1.33394;1.33407;1.33394;1.33405;162
